website              ,difference_control_group ,sample_size_control_group ,difference_remove_cookies ,sample_size_remove_cookies
mail.ru              ,   0.2750322420634921    ,                       57 ,     0.547172619047619    ,                        19
zoom.us              ,   0.04478670634920634   ,                       68 ,     0.41833085317460317  ,                        35
europa.eu            ,   0.20392195767195764   ,                       63 ,     0.1553514739229025   ,                        69
stackoverflow.com    ,   0.03273809523809523   ,                        1 ,     0.03273809523809523  ,                         1
teamviewer.com       ,   0.20395337301587302   ,                       88 ,     0.9672619047619048   ,                        10
amazon.co.uk         ,   0.4854166666666666    ,                       37 ,     0.44247519841269844  ,                        42
hp.com               ,   0.12966641865079365   ,                       68 ,     0.17910474537037047  ,                        59
aliyun.com           ,   0.07805059523809521   ,                       92 ,     0.13306919642857162  ,                        86
rackspace.com        ,   0.19156994047619036   ,                       55 ,     0.19947172619047626  ,                        41
freepik.com          ,   0.2248952132936507    ,                       63 ,     0.4030853174603175   ,                        43
springer.com         ,   0.04655171130952385   ,                       87 ,     0.14047612847222213  ,                        62
nature.com           ,   0.1294077380952381    ,                       57 ,     0.16560615079365082  ,                        48
casalemedia.com      ,   0.021369047619047565  ,                       95 ,     0.02799107142857138  ,                        77
surveymonkey.com     ,   0.03283730158730158   ,                       16 ,     0.05887896825396832  ,                        16
paloaltonetworks.com ,   0.0014880952380952328 ,                        2 ,     0.0691964285714286   ,                         2
nvidia.com           ,   0.2117385912698413    ,                       61 ,     0.2510367063492064   ,                        30
imgsmail.ru          ,   0.21399553571428576   ,                       73 ,     0.5279761904761905   ,                        14
verisign.com         ,   0.08645337301587319   ,                       96 ,     0.14420504712301574  ,                        91
swrve.com            ,   0.045037202380952435  ,                       86 ,     0.33125000000000004  ,                        49
businesswire.com     ,   0.12088541666666663   ,                       74 ,     0.10047867063492055  ,                        76
deloitte.com         ,   0.38158854166666667   ,                       62 ,     0.805952380952381    ,                        10
rt.com               ,   0.09778521825396813   ,                       66 ,     0.10911706349206352  ,                        67
docker.com           ,   0.08534226190476202   ,                       98 ,     0.20415544690098275  ,                        81
ebay.co.uk           ,   0.21268849206349205   ,                       66 ,     0.3786879960317461   ,                        37
abc.net.au           ,   0.20060374149659876   ,                       66 ,     0.25233943924792135  ,                        57
doubleverify.com     ,   0.0848809523809525    ,                       76 ,     0.24735119047619036  ,                        76
bmj.com              ,   0.17774371693121682   ,                       72 ,     0.37002303004535153  ,                        51
getpocket.com        ,   0.021088435374149728  ,                       59 ,     0.06168002915451887  ,                        56
supersonicads.com    ,   0.0                   ,                       10 ,     0.0                  ,                        10
gartner.com          ,   0.14465773809523808   ,                       25 ,     0.17867063492063495  ,                        19
branch.io            ,   0.31321428571428567   ,                       27 ,     0.12492559523809521  ,                        11
ultradns.com         ,   0.02946428571428572   ,                       12 ,     0.2790922619047619   ,                        11
mlb.com              ,   0.4002529761904763    ,                       42 ,     0.6107699121315193   ,                        24
blackboard.com       ,   0.10078833616780025   ,                       73 ,     0.15368445294784594  ,                        55
entrust.net          ,   0.20163690476190488   ,                       15 ,     0.2184647817460318   ,                        15
slate.com            ,   0.39148065476190474   ,                       23 ,     0.6350694444444445   ,                        21
amplitude.com        ,   0.06382794784580492   ,                       90 ,     0.26575520833333344  ,                        41
thelancet.com        ,   0.3783035714285714    ,                       79 ,     0.8748511904761904   ,                        10
ey.com               ,   0.38283575148809523   ,                       42 ,     0.45094458616780053  ,                        25
gamespot.com         ,   0.4302083333333333    ,                        7 ,     0.5343005952380953   ,                        23
mediatek.com         ,   0.4042906746031746    ,                       15 ,     0.6977554563492063   ,                        34
onetrust.com         ,   0.3134176587301589    ,                       43 ,     0.33387896825396834  ,                        25
contextweb.com       ,   0.018750000000000044  ,                       10 ,     0.03125              ,                        10
sap.com              ,   0.5530753968253967    ,                        6 ,     0.6247519841269842   ,                         6
discogs.com          ,   0.032412202380952215  ,                       92 ,     0.293861793154762    ,                        57
rackspacecloud.com   ,   0.3407184193121692    ,                       63 ,     0.4000744047619047   ,                        64
gumgum.com           ,   0.45991319444444445   ,                       76 ,     0.7296875            ,                        10
app.link             ,   0.20281250000000006   ,                       25 ,     0.12673611111111105  ,                        18
pendo.io             ,   0.1566840277777779    ,                       45 ,     0.24984760802469141  ,                        35
agora.io             ,   0.1398970734126983    ,                       78 ,     0.28435929232804225  ,                        72
databricks.com       ,   0.5467303240740742    ,                       19 ,     0.8824652777777778   ,                        10
mitre.org            ,   0.40599922839506186   ,                       49 ,     0.5251302083333333   ,                        31
acm.org              ,   0.07229662698412698   ,                       17 ,     0.4461805555555556   ,                         3
flaticon.com         ,   0.14854166666666657   ,                       92 ,     0.2725198412698413   ,                        81
ssrn.com             ,   0.42234375            ,                       64 ,     0.3998263888888889   ,                        15
goguardian.com       ,   0.047118055555555594  ,                      100 ,     0.23239004629629645  ,                        85
newscientist.com     ,   0.09542824074074086   ,                       14 ,     0.06519097222222237  ,                        12
gotinder.com         ,   0.08852430555555557   ,                       88 ,     1.0                  ,                        10
trustarc.com         ,   0.05105902777777782   ,                       84 ,     0.08478009259259256  ,                        77
fifa.com             ,   0.40403645833333335   ,                       53 ,     0.07118055555555558  ,                        10
viber.com            ,   0.24199459876543206   ,                       37 ,     0.5268518518518519   ,                        28
helpshift.com        ,   0.3618634259259259    ,                       48 ,     0.5104166666666666   ,                        10
merchantlink.com     ,   0.6017187500000001    ,                       55 ,     0.7577083333333333   ,                        46
truste.com           ,   0.05401289682539667   ,                       82 ,     0.10950892857142835  ,                        82
wufoo.com            ,   0.036250000000000115  ,                       76 ,     0.13249255952380956  ,                        54
weborama.fr          ,   0.24919642857142854   ,                       25 ,     0.3380208333333333   ,                        16
osu.edu              ,   0.01689484126984131   ,                       31 ,     0.320138888888889    ,                         9
mimecast.com         ,   0.17221726190476205   ,                       84 ,     0.2914181783824642   ,                        36
technologyreview.com ,   0.4134134424603175    ,                       56 ,     0.45687500000000003  ,                        10
pubnub.com           ,   0.01958829365079373   ,                       84 ,     0.13535501700680275  ,                        64
adtelligent.com      ,   0.06795634920634919   ,                       87 ,     0.08385416666666679  ,                        63
logitech.com         ,   0.18379464285714275   ,                       65 ,     0.6682725694444445   ,                        20
algolianet.com       ,   0.0                   ,                       10 ,     0.0                  ,                        10
seekingalpha.com     ,   0.39848511904761896   ,                       65 ,     0.9422619047619047   ,                        10
playrix.com          ,   0.18825231481481486   ,                       27 ,     0.07276785714285716  ,                        10
cancer.org           ,   0.08364583333333342   ,                      100 ,     0.23467592592592612  ,                        83
inmobi.com           ,   0.3526785714285714    ,                        3 ,     0.019345238095238138 ,                         4
thomsonreuters.com   ,   0.15620039682539688   ,                       55 ,     0.23467261904761916  ,                        32
zend.com             ,   0.11214285714285699   ,                       76 ,     0.3129749503968253   ,                        66
allrecipes.com       ,   0.29588624338624325   ,                       48 ,     0.2092421343537414   ,                        23
cell.com             ,   0.41981505102040817   ,                       83 ,     0.8613095238095239   ,                        10
strava.com           ,   0.11735189909297061   ,                       51 ,     0.14463045634920635  ,                        54
broadcom.com         ,   0.12813988095238094   ,                       30 ,     0.5751488095238095   ,                         6
adweek.com           ,   0.22511926906179147   ,                       65 ,     0.4173756045386904   ,                        55
docusign.com         ,   0.1324967757936507    ,                       72 ,     0.9866071428571429   ,                        10
grserver.gr          ,   0.0                   ,                       10 ,     0.0                  ,                        10
pcworld.com          ,   0.21504134778911577   ,                       58 ,     0.23505661848072568  ,                        53
segment.io           ,   0.03225653108465598   ,                       86 ,     0.03756708238851092  ,                        82
mastercard.com       ,   0.5872000779478459    ,                       80 ,     0.99921875           ,                        10
coe.int              ,   0.02261904761904765   ,                       14 ,     0.25714285714285723  ,                        14
yumpu.com            ,   0.22635582010582023   ,                       62 ,     0.9255952380952381   ,                        10
tribalfusion.com     ,   0.18616071428571423   ,                       10 ,     0.21011904761904776  ,                        10
